# Auto-generated from PAL->USA symbol reconciliation
# 2886 unique VA symbols
# Format: VA SymbolName
0x00100008 _start
0x00100510 RFU063
0x00100520 CreateSema
0x00100530 DeleteSema
0x00100540 SignalSema
0x00100550 iSignalSema
0x00100560 WaitSema
0x00100570 PollSema
0x00100580 iPollSema
0x00100590 ReferSemaStatus
0x001005A0 iReferSemaStatus
0x001005B0 RFU073
0x001005C0 SetOsdConfigParam
0x001005D0 GetOsdConfigParam
0x001005E0 GetGsHParam
0x001005F0 GetGsVParam
0x00100600 SetGsHParam
0x00100610 SetGsVParam
0x00100620 CreateEventFlag
0x00100630 DeleteEventFlag
0x00100640 SetEventFlag
0x00100650 RFU083_iSetEventFlag
0x00100660 ClearEventFlag
0x00100670 RFU085_iClearEventFlag
0x00100680 RFU086_WaitEvnetFlag
0x00100690 RFU087_PollEvnetFlag
0x001006A0 RFU088_iPollEvnetFlag
0x001006B0 RFU089_ReferEventFlagStatus
0x001006C0 RFU090_iReferEventFlagStatus
0x001006D0 RFU091
0x001006E0 EnableIntcHandler
0x001006F0 iEnableIntcHandler
0x00100700 DisableIntcHandler
0x00100710 iDisableIntcHandler
0x00100720 EnableDmacHandler
0x00100730 iEnableDmacHandler
0x00100740 DisableDmacHandler
0x00100750 iDisableDmacHandler
0x00100760 KSeg0
0x00100770 EnableCache
0x00100780 DisableCache
0x00100790 GetCop0
0x001007A0 FlushCache
0x001007B0 CpuConfig
0x001007C0 iGetCop0
0x001007D0 iFlushCache
0x001007E0 iCpuConfig
0x001007F0 sceSifStopDma
0x00100800 SetCPUTimerHandler
0x00100810 SetCPUTimer
0x00100820 SetOsdConfigParam2
0x00100830 GetOsdConfigParam2
0x00100840 GsGetIMR
0x00100850 iGsGetIMR
0x00100860 GsPutIMR
0x00100870 iGsPutIMR
0x00100880 SetPgifHandler
0x00100890 SetVSyncFlag
0x001008A0 RFU116_SetSyscall
0x001008B0 _print
0x001008C0 sceSifDmaStat
0x001008D0 isceSifDmaStat
0x001008E0 sceSifSetDma
0x001008F0 isceSifSetDma
0x00100900 sceSifSetDChain
0x00100910 isceSifSetDChain
0x00100920 sceSifSetReg
0x00100930 sceSifGetReg
0x00100940 ExecOSD
0x00100950 Deci2Call
0x00100960 PSMode
0x00100970 MachineType
0x00100980 GetMemorySize
0x001009A0 InitSysCall
0x001009E0 _InitSys
0x00100A08 DisableIntc
0x00100A70 EnableIntc
0x00100AD8 DisableDMAC
0x00100B40 EnableDMAC
0x00100BA8 iEnableIntc
0x00100BC8 iDisableIntc
0x00100BE8 iEnableDmac
0x00100C08 iDisableDmac
0x00100C38 Copy
0x00100C90 InitAlarm
0x00100D68 topThread
0x00100E40 InitThread
0x00100F18 iWakeupThread
0x00100FB0 iRotateThreadReadyQueue
0x00101030 iSuspendThread
0x00101100 deci2Putchar
0x001011B0 serialPutchar
0x00101278 printfloat
0x001013E0 _printf
0x001019A8 kprintf
0x001019E0 scePrintf
0x00101AE8 sceDeci2Close
0x00101B40 sceDeci2Poll
0x00101B68 sceDeci2ExRecv
0x00101BA0 sceDeci2ExSend
0x00101C08 sceDeci2ExLock
0x00101C30 sceDeci2ExUnLock
0x00101C58 kputs
0x00101C80 Main
0x00101F70 idle
0x00102340 boot
0x00102418 Emergency_DestroyAllThread
0x001024B8 movie_abort_check
0x00100108 demoEnd
0x001024F8 main
0x0013A580 InitDelayFree
0x001027C8 UpdateRootMatrixByDObj
0x00102870 SetRootQuaternion
0x001028F0 SetRootMatrixWithTransOffsetByDObj
0x00102978 GetRootMatrixRotOffsetByDObj
0x001029C0 SetRootMatrixRotOffsetByDObj
0x00102A40 SetDirectRootPositionNoFittingWithNodePoint
0x00102C10 SetDirectRootPositionNoFittingWithNodePointXZ
0x00102DE0 SetDirectRootPositionWithNodePoint
0x00102E08 LocalizeGeometry
0x00102FA0 GetGlobalDirectionOrient
0x00103018 GlobalizeGeometry
0x00103120 GetInitialInverseMatrixByDObj
0x001031E0 GetInitialInverseMatrix
0x001032A8 GetInitialSkeltonMatrixByDObj
0x00103370 MakeCharGObjList
0x001034B8 cylinderCollisionCheck
0x00103AD0 LocalizeDirectionOrient
0x00103B48 GetCylinderCollision
0x00103C48 GetCylinderCollisionWithExceptOwnCollision
0x00103D50 CylinderCollision
0x00103F00 CylinderCollisionWithControlDynamics
0x001040C0 GetRootMatrixByDObj
0x00104140 GetRootMatrix
0x001041C0 GetRootPositionByDObj
0x00104240 SetDirectRootPosition
0x00104360 SetDirectRootPositionNoFitting
0x00104478 SetRootPosition
0x00104508 GetRootPosition
0x00104590 GetRootOrient
0x00104698 GetRootMatrixTransOffsetByDObj
0x001046F0 GetRootMatrixTransOffset
0x00104748 GetRootMotionOrient
0x00104818 GetRootMotionMatrix
0x001048C8 GetProjectionPosOfPlane
0x00104940 GetProjectionOfPlane
0x001049C0 GetProjectionOfPlaneWithKeepAway
0x0014BDC8 GetCharGObjList
0x00104A48 getInitialInverseMatrix
0x00104AF0 geoMan_getInitialMatrix
0x00104B98 InitKeyInput
0x00104C80 ExecKeyInput
0x00104EF0 InitMatrixDrive
0x00104F48 MatrixDrive_RotMatrixX
0x00104FC0 MatrixDrive_RotMatrixY
0x00105038 MatrixDrive_RotMatrixZ
0x001050E0 MatrixDrive_TurnViewMatrix
0x001052A0 MatrixDrive_PushMatrixWithNoCopy
0x001052A8 MatrixDrive_TransMatrixV
0x00105308 MatrixDrive_TransMatrix
0x00105390 MatrixDrive_TurnObjectMatrix
0x00105488 MatrixDrive_TurnXObjectMatrixZY
0x00105828 MatrixDrive_GetTurnXAngleZY
0x00105AC8 MatrixDrive_GetTurnYEAngleXZ
0x00105C98 MatrixDrive_GetTurnZAngleYX
0x00105E70 MatrixDrive_SetTransposeMatrix
0x00105F48 CopyVector
0x00105FD8 SubVectorXYZ
0x00105FA8 UnitRotation
0x00106090 GetPointDistance
0x00106570 dispPlane
0x00106AB8 SetMotionDirection
0x00106B80 SetMotionDirectionWithLimit
0x00106D20 GetRootPosOfNextFrame
0x00106D68 AdjustMotionHeightToField
0x00106DA8 GetLowerPlaneCollision
0x00106E38 calcFootIK
0x00107270 InitMotionGeoInfo
0x001074A8 motMan2_dispSkeltonHierarchy
0x00107778 DispSkelton
0x001077F8 SlopeIKControl
0x00107B28 GetPureVerticalPlaneOfCurrentPosition
0x00107DD8 getVerticalElementOfWallNormal
0x00107E28 AdjustVerticalSidePlaneOfWall
0x001080F8 GetPureVerticalPlane
0x001082B0 _getS16MotRotElem
0x00108698 _getMotion
0x00108A50 GetStreamMotion
0x00108C98 CopyMotionWithNodeHrc
0x00108DA0 GetFloatingMotion
0x001097A0 MakeMirrorMotion
0x00109918 GetFloatingShapeMotion
0x00109BB8 DebugDisp1Collision
0x00109CB0 DebugDisp1CollisionWithColor
0x00109DA8 SetMotionBlendlessNode
0x00109E88 InitMotionStateInfo
0x00109F28 AdjustMotionHeightToNearestField
0x00109FF0 SetRootUpdateMode
0x0010A048 CheckFloorAttribute
0x0010A0C0 GetStreamShapeMotion
0x0010A120 GetDifferenceFromWallUpperField
0x0010A1A0 GetDifferenceFromLowerField
0x0010A200 GetDifferenceFromWallLowerPlane
0x0010A270 GetDifferenceFromWallUpperPlane
0x0010A2E8 EnableChangeRootUpdateMode
0x0010A330 GetHeightOfFieldPlaneDifference
0x0010A378 GetHeightOfWallFromGObj
0x0010A3A0 InitMotionRotElem
0x0010A3F0 SetMotionNodeFixModeParameter
0x0010A498 GetRootProjectionPosOfGObj
0x0010A4F0 ClearMotionGeometryInfo
0x00102678 SetSkeltonDispSwitch
0x0010A550 CopyMotion
0x0010A598 GetMotionRootPos
0x0010A5E0 GetMotion
0x0010A798 GetBlendedMotion
0x0010A978 GetFloatingMotionRootPos
0x0010AB28 GetOutOutsideOfWall
0x0010ABD8 AdjustRootPositionToVerticalSidePlaneOfWall
0x0010AC88 fitYToPlane
0x0010ACC0 GetBlendedMotionRootPos
0x0010AD20 _getMotRotElem
0x0010ADD0 copyToWork
0x0010AF48 flushWork
0x0010B040 setNodePursueParticleEffectWithUpperLimit
0x0010B0D8 SetFallDownSplash
0x0010B2D0 InitPoolGeo
0x0010B770 updatePoolGeo
0x0010C5C0 PoolDL
0x0010C6C0 InitLimitedPoolReflactionMesh
0x0010C808 SetLayoutedPoolReflactionMesh
0x0010CB48 SetLimitedPoolReflactionMesh
0x0010D198 InitLayoutedPoolReflactionMesh
0x0010D4A8 PushQuaternion
0x0010D520 InitQuaternionDrive
0x0010D540 GetMatrixFromQuaternion
0x0010D7F8 GetQuaternionFromMatrix
0x0010D838 GetInverseQuaternion
0x0010D878 RegularizeQuaternion
0x0010D8E0 GetSlerpQuaternionNoRegularize
0x0010DA78 GetSlerpQuaternion
0x0010DAD0 PushQuaternionWithNoCopy
0x0010DB60 SetQuaternionByAxisRotate
0x0010DBD0 SetQuaternionByAxisRotateWithNoRegularize
0x0010DC38 SetQuaternionByAxisRotateEAngle
0x0010DCF8 SetQuaternionByAxisRotateV
0x0010DD58 SetQuaternionByAxisRotateVWithNoRegularize
0x0010DDF8 DivQuaternion
0x0010DEC0 GetMatrixFromQuaternionPos
0x0010DF70 MultiMatrixByQuaternion
0x0010DFB8 GetMirrorQuaternion
0x0010E0B8 RotQuaternionX
0x0010E298 RotQuaternionEAX
0x0010E398 RotQuaternionEAZ
0x0010E498 GetXUnitVectorOfQuaternion
0x0010E528 GetYUnitVectorOfQuaternion
0x0010E5B8 GetZUnitVectorOfQuaternion
0x0010E648 GetDifferencialQuaternionWithNoRegularize
0x0010E708 GetQuaternionMagnitude
0x0010E748 SetQuaternionByCosineAxisRotateVWithNoRegularize
0x0010E7D8 SetQuaternionByCosineAxisRotateV
0x0010E868 SetQuaternionByAxisRotateVEAngle
0x0010E9A0 GetTableCos
0x0010E9F8 InitTableSin
0x0010EAD0 GetTableArcSin
0x0010EC08 GetTableArcTan2
0x0010EC18 p2o_MakePacket
0x0010ECC8 p2o_TransMicroProgram
0x0010EE90 file_LoadCDFile
0x0010F5B8 file_LoadFile
0x0010F5D8 gif_StartPacket
0x0010F630 gif_EndPacket
0x0010F768 gif_EndPacketPath1
0x0010F880 gif_MakeLine2DOffset
0x0010F9A8 gif_MakeSprite
0x0010FB28 gif_MakeSpriteOffset
0x0010FCC0 gif_MakeSpriteWithStrip
0x0010FF28 gif_PointOffset
0x00110050 gif_Line
0x001101E0 gif_Sprite
0x001103E0 gif_SpriteSensitive
0x00110580 gif_SpriteOffset
0x00110790 gif_SpriteSensitiveOffset
0x00110948 gif_SpriteOrg
0x00110AF0 gif_SpriteSensitiveOrg
0x00110E00 gif_DrawPolyF4
0x00111108 gif_DrawStripF
0x001114D0 gif_Draw2DStripG
0x001116A8 gif_Draw2DUVStripG
0x001118B8 gif_StartPacketPri
0x00111918 gif_SetGsReg
0x00109BAC gif_CheckOpen
0x00111948 gif_MakePoint2D
0x00111AE8 gif_MakeLine2D
0x00111BF8 gif_MakeSpriteNoTexture
0x00111CF0 gif_MakeSpriteNoTextureOffset
0x00111EF8 gif_LineOffset
0x00112048 gif_MoveImage
0x001122C8 gsb_SetFrame
0x00113298 gsb_controlBrightness
0x001137B8 gsb_setNormalReg
0x00113820 gsb_setSemitransReg
0x00113890 gsb_setSpecularReg
0x00113908 gsb_setParticleReg
0x00113980 gsb_MakeCommonMatrix
0x00113F50 gsb_SetGsDefault
0x00113E60 gsb_InitGSSystem
0x00114080 gsb_ResetGSSystem
0x00114748 gsb_ClipBox
0x00115F20 removeLockFile
0x00114FB8 gsb_ClearFrameBuffer
0x00114FC8 light_KillLinkLight
0x00115108 light_AddLight
0x00115410 light_getNearLight
0x00115878 light_getAmbientLight
0x00115ED8 light_MakeLightMatrix
0x001165A8 light_GetColorAnalog
0x00116888 light_DrawCursor
0x00116C08 light_Tool
0x00117768 light_KillAllFixLight
0x001177C8 light_KillAllAmbient
0x00117820 light_AddAmbientObject
0x00117890 light_resetFlatLight
0x00117C20 _Sqrt
0x00117CF0 _RotCurrentMatrixX
0x00118490 _InterVector
0x001184B8 _InterVectorXYZ
0x00119E30 _UnitMatrix
0x00118818 _SetCameraMatrix
0x00118A48 _InitRandom
0x0011A230 _GetRandom
0x00118B18 mc_SetBaseOffset
0x00118C68 mc_SetMicroCode
0x00118E88 mc_TransMicroCode
0x00118F58 mc_Reset
0x00118FD8 pac_DispQW
0x001191C0 pac_DumpPac
0x00119350 pac_MakeBoundingBox
0x00119470 pac_error
0x00119540 pac_makeNormalStrip
0x001199A0 pac_GetWeight
0x00119CA0 pac_MakeClusterStrip
0x0011A2A8 pac_SetVifCode
0x0011A338 pac_SetGifTag
0x0011A410 pac_closeTag
0x0011A520 pac_continueTag
0x0011A668 pac_CheckDivide
0x0011A7F8 pac_countOneVertexPacketSize
0x0011A990 pac_makeStrip
0x0011AE78 pac_makeMaterialTable
0x0011B040 pac_makeMaterialTableLine
0x0011B1F0 pac_getTextureInfo
0x0011B360 pac_makeShapeTable
0x0011B6D8 pac_makePacket
0x0011BF60 pac_Dump
0x0011BFC0 pac_DispVu1Memory
0x0011C028 prim_InitFan2D
0x0011C2B8 prim_SetFan2D
0x0011C500 prim_DispFan2D
0x0011C868 prim_makePacketMesh3D
0x0011CBF8 prim_InitMesh3D
0x0011CE90 prim_makeNormal
0x0011D2E8 prim_UpdateMesh3D
0x0011D800 prim_DispMesh3D
0x0011D9A0 prim_InitParticleByPartition
0x0011DD08 prim_DispParticle
0x0011DEE0 prim_DeleteParticle
0x0011E0B8 prim_DispWireYCylinder
0x0011E220 prim_DispWireSphere
0x0011E4F8 prim_DispWireBox
0x0011E708 prim_InitParticle
0x0011E728 reg_setShape
0x0011EB50 reg_dispBoxLine
0x0011ECE0 reg_clipPacketBoundingBox
0x0011F040 reg_setNMatrixPacket
0x0011F468 reg_setMMatrixPacket
0x0011F8E8 reg_setCMatrixPacket
0x0011FC28 _reg_disp
0x0011FCD8 reg_transMaterialPacket
0x0011FD28 reg_setDissolve
0x0011FF30 reg_resetDissolve
0x0011FF60 reg_dispNObj
0x00120308 reg_dispMObj
0x001207E8 reg_dispSObj
0x00120B28 reg_dispCObj
0x00120DF8 reg_dispPoint
0x00121298 reg_dispLine
0x001217C8 reg_dispPointLineObj
0x00121D90 reg_DispAccessoryWithShadow
0x00122148 reg_RenderReflection
0x001224E0 reg_DispEnemy
0x001227C8 reg_DispMultiPri
0x00122C50 reg_TransTexturePacket
0x00123C00 shadow_Render
0x00123C20 shadow_getShadowVectorAverage
0x00123C70 shadow_EntryClusterShadow
0x001240D0 shadow_EntryNormalShadow
0x001243E8 __GetCameraPos
0x00128050 shadow_MakeObjectData
0x001283B8 shadow_Tool
0x00128710 shadow_DispCancel
0x001287E8 shadow_Init
0x00128868 stage_MakeGObj
0x0012A1D8 stage_ApplyData
0x001297A0 stage_SetAnimation
0x00129970 stage_ContinueAnimation
0x0012A618 stage_MakePlayBgAnimation
0x0012A7F8 stage_DispBgAnimation
0x0012AA80 stage_CheckAnimationFinish
0x0012AB50 stage_CheckAnimationFrame
0x0012ABE0 stage_SetLoopFlag
0x0012AC28 stage_SetFrameStep
0x0012AC70 stage_SetParentOfGObj
0x0012ACD8 stage_SetParentOfGObjWithLocalRotationFlag
0x0012AD40 stage_SetLocalizeGeometry
0x0012AED0 tex_AllocVramAuto
0x0012AFC0 tex_loadImage
0x0012B1C0 tex_setTexReg
0x0012B850 tex_transVramClutTex
0x0012BA68 tex_transVramDirectTex
0x0012BBE8 tex_transRegister
0x0012BC10 tex_transTM2
0x0012C050 tex_setRegisters
0x0012C3D0 tex_initTM2
0x0012C6F0 tex_convertImage
0x0012C8F8 tex_makeCopyImage
0x0012CB70 tex_makeTexturePacket
0x0012CEF8 tex_initTextureSub
0x0012D218 tex_LoadTexturePart
0x0012D370 tex_TransTexture
0x0012DA48 tex_textureAnimation
0x0012DE80 tex_FreeTexture
0x0012E0D8 tex_dispClut
0x0012E528 tex_printTexture
0x0012E940 tex_Tool
0x0012F818 tex_ListTool
0x0012FCE0 tex_GetTWTH
0x0012FD50 tex_LoadTexture
0x0012FD70 tex_GetTextureNo
0x0012FE60 tex_GetTexExtData
0x0012FFF0 tex_SetUVScroll
0x00130128 tex_Init
0x00130250 fog_MakeFogClut
0x00130F98 fog_FogTool
0x001312F0 iosCdvdMgrSearchFile
0x00131780 temp_loadfunc
0x001320E8 iosCdvdHandlerRead
0x001321C8 unifile_read_func
0x001345C8 iosCdvdManager
0x001331D8 iosCdvdDirectStClose
0x00133218 iosCdvdChgFileName
0x001332B8 iosCdvdGetFileLsn
0x00133398 iosCdvdSync
0x00133500 iosCdvdBackGroundMgrSeek
0x00133510 iosCdvdDirectStRead
0x00133570 inflate_cd_read_func
0x001335D0 iosCdvdBackGroundMgrInit
0x00133608 iosCdvdBackGroundMgr
0x001336C0 huft_build
0x00133E88 inflate_codes
0x001345D0 inflate_stored
0x001348F0 inflate_fixed
0x00134B50 inflate_dynamic
0x00135468 inflate_start
0x001354B8 close_inflate_handler
0x00135580 inflate
0x00135A48 open_inflate_handler
0x00135AD8 fill_inbuf
0x00135BB8 huft_free
0x00135BF8 ios_init_plus
0x00135CE8 iosInitialize
0x00135EB8 iosSifAllocIopHeapDebug
0x00135F60 new_mblock_node
0x00136098 new_segment
0x00136140 reuse_mblock
0x00136198 strdup_mblock
0x00136280 iosMcHandlerWrite
0x00136678 iosMcHandlerRead
0x00136D50 iosMcMgrSaveSeg
0x00137180 iosMcMgrLoadSeg
0x00137558 iosMcMgrGetBlockSaveInfo
0x00137E48 iosMcMgrSync
0x00137F08 iosMcGetInfo
0x00137F48 iosMcFormat
0x00138140 iosMcSaveGameBlock
0x00138390 product_read
0x00138510 iosMcIconWriteIconsys
0x001387F0 iosMallocSetPartition
0x00138A10 iosMallocResetPartition
0x00138BF0 iosMallocSetPartitionName
0x00138C78 iosMallocClearPartition
0x00138E30 _iosMallocDebug
0x001392A8 iosMallocAlignDebug
0x001394F0 _iosFreeWithFill
0x00139598 iosFree
0x00139A50 iosMallocCheckLeak
0x00139C30 iosMallocCheckLeak2
0x00139D78 iosReallocDebug
0x00139FE8 iosMallocInitPartition
0x0013A0F8 iosMallocDebug
0x0013A250 iosMsgQueueCreate
0x0013A2F8 iosMsgQueueDestroy
0x0013A380 send_signal_message
0x0013A498 iosMsgSetEvent
0x0013A5B8 iosMsgSend
0x0013A6C0 iosMsgRecv
0x0013A7C8 iosMsgQueueDestroyAll
0x0013A820 signal_handler
0x0013B298 iosPadNormalizeStick
0x0013B610 iosPadActRequest
0x0013B718 iosPadDevRead
0x0013B748 iosPadGetPort
0x0013B7C0 iosPadConnect
0x0013B7E0 iosPadStickCameraCoord
0x0013F878 iosPadEnable
0x0013B878 iosPadActInit
0x0013B8F0 iosPadActStop
0x0013B970 iosPadActStopAll
0x0013B9D8 iosPadActVolumeSet
0x0013BA20 iosPadDevManager
0x0013BA68 iosPadActTickProc
0x0013BB80 Vibration_ShotDecode
0x0013BE20 Vibration_WaveDecode
0x0013C110 Shock_Request
0x0013C538 ShockRequestBox_Clear
0x0013C5B8 ShockRequestBox_Request
0x0013C748 ShockRequestBox_DecodeRequest
0x0013C820 ShockRequestBox_EndRequestFree
0x0013C878 ShockRequestBox_VoiceSetUseRequestFree
0x0013C958 ShockRequestBox_RequestCancel
0x0013C9D8 ShockRequestBox_RequestDirectCancel
0x0012FD24 ShockEmulator_EmulationShot
0x0013F060 ShockEmulator_EmulationWave
0x0013CD70 Reset_ShockRequestStruct
0x0013CFE0 Shock_Decode
0x00100C78 dumyAllocFunc
0x0013D0D0 requestFree
0x0013D140 iosThreadMain
0x0013D1B0 iosThreadCreateS
0x0013D3F8 iosThreadDestroy
0x0013D440 iosThreadSetPri
0x0013D498 iosThreadMessage
0x0013F928 iosThreadSuspend
0x0013D550 iosThreadInit
0x0013D700 iosThreadCreate
0x0013D8A0 iosThreadGetPri
0x0013D8E0 iosGetIOSThreadFromId
0x0013D928 iosThreadWakeup
0x0013D948 iosThreadJoin
0x0013D9C8 iosThreadCancelWakeup
0x0013DA00 iosSemaCreate
0x0013DA88 iosSemaDelete
0x0013DB00 iosSemaWait
0x0013DB60 iosSemaSignal
0x0013DBB0 iosSemaReferStatus
0x0013DC30 iosThreadDestroyMgr
0x0013DD20 iosThreadAllQuit
0x0013DDA0 isysGObjInit
0x001401E0 cut_gobj_link
0x0013DEA0 isysGObjRemoveAll
0x0013E190 isysGObjMove
0x0013E220 isysGObjAddAfterGObj
0x0013E350 isysGObjAddBeforeGObj
0x0013E4D0 isysGObjAlloc
0x0013E548 isysGObjRemove
0x0013E648 isysGObjKindTableAdd
0x0013E728 isysGObjKindTableRemove
0x0013E7F8 isysGObjMoveAfterGObj
0x0013E868 isysGObjMoveBeforeGObj
0x0013E8D8 isysGObjAdd
0x0013E9E0 isysGObjAddHead
0x00141128 isysGObjActiveLink
0x00141160 isysGObjActiveDlLink
0x0013EE60 add_gobj_to_tailDL
0x0013F130 isysGObjLinkObjDL
0x0013F2C8 isysGObjDlInit
0x0013F3F0 isysGObjProcAdd_
0x0013F6B8 isysGObjProcRemove
0x0013F700 isysGObjProcessAlloc
0x0013F808 isysGObjProcPause
0x0013F8C0 isysGObjProcRemoveAll
0x0013F8F8 isysGObjProcThreadSleep
0x00141D18 isysGObjProcAddSGOppArg
0x0013608C free_gobj_process_resource
0x0013F9A0 iosOmInit
0x0013F9D0 _iosOmMain
0x0013FC00 iosOmCreateDL
0x0013FD10 iosOmExeEachGObj
0x0013FD78 iosOmExeEachGObjAll
0x0013FE18 iosOmReturnExeEachGObj
0x0013FEB0 iosOmGetGObjStatus
0x00140048 iosOmExeMail
0x00140138 adpcmTickProc2
0x00140340 adpcmDataSet
0x00140710 AdpcmPlay
0x00140748 AdpcmOpen
0x00140888 AdpcmClose
0x00140A20 AdpcmInterStereoVolumeSet
0x00140B78 AdpcmStreamHeap
0x00140BE0 AdpcmStreamInit
0x00140CE0 AdpcmIopBuffAlloc
0x00140D58 AdpcmNotUseIopAreaFree
0x00140E48 AdpcmOpenSync
0x00140F90 AdpcmInterStereoVolumeSetAll
0x00141048 adpcmTickProc
0x00141138 adpcmOpenProc
0x00141168 soundInit
0x001412C8 soundReverbDepthSet
0x00141340 soundAllocIopHeap
0x001413A8 soundDataOpenChk
0x00141660 soundBufAlloc
0x00141868 soundBufSegFree
0x00141980 soundBDDataSet
0x00141C28 soundDataOpen
0x00141E00 soundDataClose
0x00141F58 soundDataSegAllClose
0x00142008 soundSeVolSet
0x00142208 debug_DispSEInfo
0x00142890 sound3DParamSet
0x00145048 _soundSeDefPlay
0x00143138 _soundSeDefStop
0x001434B0 soundSeEnvNotUseClose
0x00143AD0 Ee2Iop
0x00143B98 soundBufAdpcmChAlloc
0x00143CD0 soundDataAreaSearch
0x00143D18 soundDataAreaGet
0x00143E60 soundHDDataSet
0x00144120 soundSeDefPlay
0x00144178 soundSeDefPlayWithVolumeRate
0x001441C8 soundSeDefVolumeRateGet
0x00144240 soundSeGroupStop
0x00144308 soundSePlayModeStop
0x00144390 soundReqTickProc
0x001444A0 soundVBlank
0x001446E8 debug_req
0x00144780 sndBgmReadyNextStage
0x001447E0 sndInit
0x00144828 sndManager
0x00144938 EXITDATA_GetNextPosition
0x00144A08 ACTGame_StageChangeGObj
0x00144B58 ACTGame_SetActors_Debug
0x00144E58 ACTCheckView
0x00145328 _ACTGame_SearchGObj
0x001454F8 ACTLookTarget_Exec
0x001457A8 _ACTCharStatus_Clear
0x00145900 GetSkeltonOrient
0x00145988 ACTGame_InnerVelocityUpdate
0x00145FB0 FunctionAboutClingedStatus
0x00147E88 GetGirlHandlinkClInfo
0x00149D60 RequestChangeHandMode
0x00149F70 ACTGame_StageChangeGObjID
0x00149FF0 ACTGame_StageChangeGObjDirect
0x0014A100 GetSkeltonPosition
0x0014A178 SetDirectRootPositionWithNodePointLimit
0x0014A330 ACTGame_ConnectHand
0x0014A3A8 ACTGame_DisconnectHand
0x0014A700 ACTGame_isWeaponEnableCatchfire
0x0014A748 ACTCheckCollis_WF
0x0014A850 ACTCheckCollis_W
0x0014A980 ACTCheckCollis_CI
0x0014AA28 ACTCheckCollis_WELL
0x0014AB30 ACTCheckCollis_WAY
0x0014AC78 ACTCheckViewCl
0x0014ADF8 ACTGameView_FirstSet
0x0014AEC8 ACTGameView_Add
0x0014AF70 ACTGameView_Check
0x0014B000 ACTGame_GetMotOrientFromWeapon
0x0014B048 ACTGame_NoWeapon
0x0014B090 ACTGame_isWeaponCombustible
0x0014B0B8 ACTGame_GetNearestGObj
0x0014DFC8 ACTGame_CheckPriInputFrame
0x0014B4C8 ACTGame_SendSoundMail
0x0014B580 ACTGame_LwsEffectInit
0x0014B5B8 ACTGame_LwsEffect_Guard
0x0014B660 ActGame_GetOrientQ
0x0014B708 _GetRootObjectOrient
0x0014B768 ACTItemForceDrop
0x0014B7A8 GetOtherStageGirlOrient
0x0014B870 ACTCheckCollis_VIEW
0x0014B970 ACTCheckViewClDetail
0x0014BB20 ACTGame_SetMotionPlaySpeedRatio_Exec
0x0014BBF0 GetGirlPositionAtThisStage
0x0014BD88 ActPara_InitSystem
0x0014BDD8 ActPara_StatusToFlag
0x0014CEE8 findChainInJump
0x0014D6B0 CorrectOrient_RopeCliff
0x0014D868 motBoyHand50
0x0014D978 motBoyHand100
0x0014DC28 motBoyHand200
0x0014E300 CheckCollisionAttr
0x0014E5E8 BoyBgaManager
0x0014E708 E3_StageStartBoy
0x0014E840 GetChainSlope
0x0014EA30 subBoyControl
0x001501A0 InitSwapWeapon
0x001504D8 ACTDispLwsBoyStonize_InQueenStage
0x00151868 actBoyWalk
0x00151D78 actBoyTakeWeaponReady
0x00151F00 actBoyTakeWeapon
0x001520E8 ditch_check_heroin_position
